Title,URL,Score:viral,Score:educational,Score:controversial,Score:community,Score:evergreen,Score:hype,Published at,Positive interestingness,Positive negative coefficient,Total interestingness,Views,Likes,Dislikes,Comments,Total reaction,Global buzz index
"SRE sous pression : santé mentale, charge invisible et fatigue du “héros de la prod”",https://www.youtube.com/watch?v=XwECzgHIV_U,0.091158,0.028570,0.160576,0.473538,0.089189,3.567558,2026-02-18 08:00:01,0.0447,17.0000,0.0474,380,17,0,1,18,6840
REX Numberly - Automatiser la gestion des identifiants DB dans k8s avec Vault et vault-db-injector,https://www.youtube.com/watch?v=QhOEMqbrFBk,0.076865,0.027409,0.188504,0.465920,0.070412,2.872823,2026-02-18 08:00:01,0.0425,13.0000,0.0458,306,13,0,1,14,4284
Sécuriser vos déploiements : quand kube-image-keeper sauve la prod !,https://www.youtube.com/watch?v=FwOc2jnxjkc,0.050535,0.027521,0.259930,0.437500,0.037553,1.483353,2026-02-18 08:00:01,0.0443,7.0000,0.0443,158,7,0,0,7,1106
Même Chuck Norris utilise Topomatik !,https://www.youtube.com/watch?v=TCLYktup5TU,0.042385,0.026580,0.298627,0.416667,0.028165,1.098432,2026-02-18 08:00:01,0.0427,5.0000,0.0427,117,5,0,0,5,585
kro : La révolution déclarative qui simplifie les déploiements Kubernetes,https://www.youtube.com/watch?v=5XJoDB7bMtw,0.046738,0.025766,0.277987,0.428571,0.032859,1.361305,2026-02-18 08:00:00,0.0414,6.0000,0.0414,145,6,0,0,6,870
REX Sellsy - Migrer 50 000 BDDs sans coupure vers PostgreSQL et K8s : mission impossible ?,https://www.youtube.com/watch?v=g3KXvevXStM,0.111476,0.025104,0.144977,0.477173,0.103271,4.778650,2026-02-18 08:00:01,0.0393,20.0000,0.0413,509,20,0,1,21,10689
Sécuriser la PKI de vos clusters Kubernetes avec ClusterAPI et OpenBao,https://www.youtube.com/watch?v=IicaBjbLyLs,0.087356,0.019689,0.197304,0.462788,0.065718,3.755324,2026-02-18 08:00:00,0.0300,12.0000,0.0325,400,12,0,1,13,5200
Le jour où nous avons cassé Kubernetes... et comment nous l’avons réparé !,https://www.youtube.com/watch?v=7GcDh4aFTU4,0.057460,0.018586,0.259930,0.437500,0.037553,2.234418,2026-02-18 08:00:01,0.0294,7.0000,0.0294,238,7,0,0,7,1666
REX Ubisoft - Quand et comment partager un cluster : retour d'expérience sur Capsule chez Ubisoft,https://www.youtube.com/watch?v=NAx2s_o1iuE,0.057460,0.018586,0.259930,0.437500,0.037553,2.234418,2026-02-18 08:00:00,0.0294,7.0000,0.0294,238,7,0,0,7,1666
REX SNCF - Smells like Cloud Kubernetes : Notre Kube managé on-premise,https://www.youtube.com/watch?v=Wb3cNKyJtCY,0.109103,0.017292,0.180537,0.467607,0.075106,4.994581,2026-02-18 08:00:00,0.0263,14.0000,0.0282,532,14,0,1,15,7980
REX INSEE - De l’expérimentation à la mise en production de modèles d’IA : le MLOps dans [...].,https://www.youtube.com/watch?v=-ks_Tcp3Lt4,0.059660,0.017345,0.259930,0.437500,0.037553,2.403408,2026-02-18 08:00:01,0.0273,7.0000,0.0273,256,7,0,0,7,1792
REX Mistral AI - Construire un fournisseur cloud de zero: ClusterAPI dans le datacenter,https://www.youtube.com/watch?v=LaOq7x-nGM4,0.197079,0.016436,0.125311,0.482231,0.136130,9.632406,2026-02-18 08:00:00,0.0244,25.0000,0.0273,1026,25,0,3,28,28728
"REX Renault - Kubernetes as a Service : sécurité, innovation et self-service à grande échelle",https://www.youtube.com/watch?v=F8x6DBeNeqg,0.146210,0.015818,0.160576,0.474233,0.098577,7.003679,2026-02-18 08:00:00,0.0228,17.0000,0.0268,746,17,0,3,20,14920
K3s: Etat des lieux en 2026,https://www.youtube.com/watch?v=wo0hP3MvwJE,0.055107,0.016193,0.277987,0.428571,0.032859,2.215641,2026-02-18 08:00:00,0.0254,6.0000,0.0254,236,6,0,0,6,1416
La résilience Cloud Native avec la solution open source Plakar,https://www.youtube.com/watch?v=iIDqvY7-x80,0.048080,0.016167,0.298627,0.416667,0.028165,1.849497,2026-02-18 08:00:02,0.0254,5.0000,0.0254,197,5,0,0,5,985
Formation à l'échelle: 100 000 sessions de labs réseau & sécurité cloud-native,https://www.youtube.com/watch?v=n_g60hLXZOk,0.037493,0.012189,0.366204,0.339583,0.023471,1.502130,2026-02-18 08:00:02,0.0125,2.0000,0.0250,160,2,0,2,4,640
"Stop the Fight : doper et unifier HPA, VPA et KEDA avec des métriques avancées",https://www.youtube.com/watch?v=JSiiQWunyOg,0.041447,0.015754,0.321888,0.400000,0.023471,1.520906,2026-02-18 08:00:01,0.0247,4.0000,0.0247,162,4,0,0,4,648
La famille k0s : une boîte à outils pour simplifier la gestion multi-cluster de Kubernetes,https://www.youtube.com/watch?v=Edo3e7KFqN8,0.034892,0.014785,0.346574,0.375000,0.018777,1.220480,2026-02-18 08:00:00,0.0231,3.0000,0.0231,130,3,0,0,3,390
REX Decathlon - Ne plus avoir peur du vendredi aprem' et déployer sereinement avec Flagger,https://www.youtube.com/watch?v=IOhCR5gxlIs,0.059063,0.014473,0.277987,0.428571,0.032859,2.497290,2026-02-18 08:00:00,0.0226,6.0000,0.0226,266,6,0,0,6,1596
Attestation à distance d’un cluster Kubernetes ou comment protéger la bergerie des loups numériques,https://www.youtube.com/watch?v=h8CQkH5w6qc,0.027224,0.014422,0.366204,0.333333,0.014082,0.835560,2026-02-18 08:00:00,0.0225,2.0000,0.0225,89,2,0,0,2,178
REX SNCF Des Rails aux Nuages Comment Kubernetes à Edge Révolutionne les Systèmes Embarqués des TGV,https://www.youtube.com/watch?v=HcG09iLvc6A,0.043923,0.013982,0.321888,0.400000,0.023471,1.727449,2026-02-18 08:00:00,0.0217,4.0000,0.0217,184,4,0,0,4,736
"[EN] How context-aware, runtime-powered cloud-native security helps teams move faster",https://www.youtube.com/watch?v=GlZzBQiZOnI,0.019081,0.013705,0.346574,0.250000,0.009388,0.441251,2026-02-18 08:00:01,0.0213,1.0000,0.0213,47,1,0,0,1,47
Kubernetes sous surveillance : déployez Uptime Kuma en un clin d’œil,https://www.youtube.com/watch?v=2LHIPMer4uI,0.036285,0.013439,0.346574,0.375000,0.018777,1.351917,2026-02-18 08:00:00,0.0208,3.0000,0.0208,144,3,0,0,3,432
Scaler vos charges de travail GPU avec Karpenter et Argo Workflows,https://www.youtube.com/watch?v=bZHwv0JtWX0,0.027734,0.013310,0.366204,0.333333,0.014082,0.910666,2026-02-18 08:00:00,0.0206,2.0000,0.0206,97,2,0,0,2,194
Chaos Engineering Escape Game : sauvez le cluster avant qu’il ne s’effondre !,https://www.youtube.com/watch?v=9ZY_NrQdyAc,0.018966,0.012704,0.346574,0.250000,0.009388,0.478804,2026-02-18 08:00:00,0.0196,1.0000,0.0196,51,1,0,0,1,51
GitHub Actions : une bombe à retardement pour la supply chain security,https://www.youtube.com/watch?v=gwXbXjlRwHo,0.028949,0.011750,0.366204,0.333333,0.014082,1.042102,2026-02-18 08:00:00,0.0180,2.0000,0.0180,111,2,0,0,2,222
Simplifier les workloads stateful sur Kubernetes,https://www.youtube.com/watch?v=86hOH8OMa9U,0.018988,0.011653,0.346574,0.250000,0.009388,0.525745,2026-02-18 08:00:00,0.0179,1.0000,0.0179,56,1,0,0,1,56
"Docker Bake, élégance et standardisation pour le build de vos images Docker",https://www.youtube.com/watch?v=WVWzwRLinzc,0.040403,0.011051,0.346574,0.375000,0.018777,1.671119,2026-02-18 08:00:01,0.0169,3.0000,0.0169,178,3,0,0,3,534
Inside Cilium: Deep Dive sur DSR (Direct Server Return),https://www.youtube.com/watch?v=1jAhnw18dn0,0.052175,0.010735,0.321888,0.400000,0.023471,2.300136,2026-02-18 08:00:00,0.0163,4.0000,0.0163,245,4,0,0,4,980
"Cluster IA Air-Gapped : Concevoir, Sécuriser et Déployer une Plateforme Souveraine",https://www.youtube.com/watch?v=dAegc_1055I,0.030807,0.010314,0.366204,0.333333,0.014082,1.201704,2026-02-18 08:00:00,0.0156,2.0000,0.0156,128,2,0,0,2,256
REX Air France-KLM - Des chaînes applicatives aux chaînes OPS [...].,https://www.youtube.com/watch?v=B2fkuWwEQL0,0.030926,0.010241,0.366204,0.333333,0.014082,1.211092,2026-02-18 08:00:01,0.0155,2.0000,0.0155,129,2,0,0,2,258
REX Winamax - De zéro à des milliards de traces : le tracing distribué à grande échelle,https://www.youtube.com/watch?v=bCF0GYGI7Dk,0.077433,0.010217,0.277987,0.428571,0.032859,3.642665,2026-02-18 08:00:01,0.0155,6.0000,0.0155,388,6,0,0,6,2328
Keynote d'ouverture Cloud Native Days France 2026 !,https://www.youtube.com/watch?v=lJXUhqHWCDo,0.306647,0.009014,0.140502,0.478171,0.116262,15.532652,2026-02-17 08:00:00,0.0126,21.0000,0.0144,1670,21,0,3,24,40080
Questions pour un conteneur - édition Supply Chain,https://www.youtube.com/watch?v=FShI5Ot0Uxk,0.032293,0.009510,0.366204,0.333333,0.014082,1.314363,2026-02-18 08:00:00,0.0143,2.0000,0.0143,140,2,0,0,2,280
"REX Ledger - Le réseau multi-cluster, enfin simplifié : Guide pratique de Cilium ClusterMesh",https://www.youtube.com/watch?v=Zmakri4Kqyo,0.059148,0.009186,0.321888,0.400000,0.023471,2.731999,2026-02-18 08:00:02,0.0137,4.0000,0.0137,291,4,0,0,4,1164
Admission Control 2.0 : des Webhooks aux politiques intégrées,https://www.youtube.com/watch?v=FAZSl30Gm1Y,0.062936,0.008558,0.321888,0.400000,0.023471,2.957318,2026-02-18 08:00:01,0.0127,4.0000,0.0127,315,4,0,0,4,1260
Kagent sur Kubernetes : comment l'IA agentique vous rend 10 fois plus efficaces,https://www.youtube.com/watch?v=uuVLEFt0ta0,0.062936,0.008558,0.321888,0.400000,0.023471,2.957318,2026-02-18 08:00:02,0.0127,4.0000,0.0127,315,4,0,0,4,1260
Sous le capot de Cluster API: concevoir et implémenter un provider d'infrastructure,https://www.youtube.com/watch?v=Gd8WSXxiAZI,0.077615,0.008496,0.298627,0.416667,0.028165,3.727159,2026-02-18 08:00:00,0.0126,5.0000,0.0126,397,5,0,0,5,1985
REX bpifrance - FinOps en action – De la visibilité au chargeback : les clés d’une démarche réussie,https://www.youtube.com/watch?v=Qbqe18eu_Bk,0.021842,0.007532,0.346574,0.250000,0.009388,0.854336,2026-02-18 08:00:00,0.0110,1.0000,0.0110,91,1,0,0,1,91
Tokyo Drift Containers : Immuabilité au service de la sécurité Cloud Native,https://www.youtube.com/watch?v=XJAMvvOK4UE,0.021842,0.007532,0.346574,0.250000,0.009388,0.854336,2026-02-18 08:00:01,0.0110,1.0000,0.0110,91,1,0,0,1,91
REX Mirakl - Déployer nos modèles : c'est simple avec KServe !,https://www.youtube.com/watch?v=GrKeIvucyYk,0.022964,0.006939,0.346574,0.250000,0.009388,0.938831,2026-02-18 08:00:00,0.0100,1.0000,0.0100,100,1,0,0,1,100
Du chaos à la clarté : booster votre pipeline de logs avec VictoriaLogs et LogsQL,https://www.youtube.com/watch?v=la8coUmqriQ,0.026015,0.005857,0.346574,0.250000,0.009388,1.145374,2026-02-18 08:00:00,0.0082,1.0000,0.0082,122,1,0,0,1,122
REX CA-GIP - Construire la Plus Grande Plateforme Grafana On-Premise d'Europe,https://www.youtube.com/watch?v=ynYqDRy6nbE,0.052373,0.005367,0.366204,0.333333,0.014082,2.544232,2026-02-18 08:00:01,0.0074,2.0000,0.0074,271,2,0,0,2,542
REX Skello - Data Platform Engineering [...].,https://www.youtube.com/watch?v=byk19RLyZnE,0.032832,0.004553,0.346574,0.250000,0.009388,1.558459,2026-02-18 08:00:00,0.0060,1.0000,0.0060,166,1,0,0,1,166
Au-delà du Chaos du Multi-Cloud : L'Architecture Universal Mesh,https://www.youtube.com/watch?v=kzc3jB9LAYA,0.010599,0.000939,0.000000,0.000000,0.004694,0.553910,2026-02-18 08:00:00,0.0000,0.0000,0.0000,59,0,0,0,0,0
REX DINUM -Les ingrédients multitenancy et authentification pour une distribution k8s open-source fr,https://www.youtube.com/watch?v=zWayprWXWVg,0.030898,0.000939,0.000000,0.000000,0.004694,1.614789,2026-02-18 08:00:00,0.0000,0.0000,0.0000,172,0,0,0,0,0
Challenge : 0 CVE (ou presque) sur une appli Cloud Native en 10mn,https://www.youtube.com/watch?v=mzTl6oVfxWo,0.018144,0.000939,0.000000,0.000000,0.004694,0.948219,2026-02-18 08:00:00,0.0000,0.0000,0.0000,101,0,0,0,0,0
OS immuables pour K8s : Étendre vos systèmes avec systemd-sysext !,https://www.youtube.com/watch?v=98l6nv3vN1I,0.019940,0.000939,0.000000,0.000000,0.004694,1.042102,2026-02-18 08:00:01,0.0000,0.0000,0.0000,111,0,0,0,0,0
Passons au cloud-native durable,https://www.youtube.com/watch?v=ZNo90IMUQyw,0.015988,0.000939,0.000000,0.000000,0.004694,0.835560,2026-02-18 08:00:00,0.0000,0.0000,0.0000,89,0,0,0,0,0
Kyverno au service de l’IA : sécuriser les actions des agents dans Kubernetes,https://www.youtube.com/watch?v=c-FRN3YQliA,0.021557,0.000939,0.000000,0.000000,0.004694,1.126597,2026-02-18 08:00:00,0.0000,0.0000,0.0000,120,0,0,0,0,0
Mobilité des workloads Kubernetes : relever les défis et maîtriser la protection de vos données,https://www.youtube.com/watch?v=MmvbUnu9hfw,0.006287,0.000939,0.000000,0.000000,0.004694,0.328591,2026-02-18 08:00:00,0.0000,0.0000,0.0000,35,0,0,0,0,0
